protein id,location
AT3G16950.1,chloroplast
AT3G17040.2,chloroplast
AT3G17170.1,chloroplast
AT3G17810.1,chloroplast
AT3G17930.1,chloroplast
AT3G18270.1,chloroplast
AT3G18680.1,chloroplast
AT3G18890.1,chloroplast
AT3G19180.1,chloroplast
AT3G19480.1,chloroplast
AT3G19490.1,chloroplast
AT3G20330.1,chloroplast
AT3G21110.1,chloroplast
AT3G21200.1,chloroplast
AT3G22960.1,chloroplast
AT3G23070.1,chloroplast
AT3G23400.1,chloroplast
AT3G23700.1,chloroplast
AT3G23940.1,chloroplast
AT3G24190.1,chloroplast
AT3G24430.1,chloroplast
AT3G24590.2,chloroplast
AT3G25480.1,chloroplast
AT3G25680.1,chloroplast
AT3G25760.1,chloroplast
AT3G25860.1,chloroplast
AT3G25920.1,chloroplast
AT3G26060.1,chloroplast
AT3G26070.1,chloroplast
AT3G26080.1,chloroplast
AT3G26580.1,chloroplast
AT3G26650.1,chloroplast
AT3G26710.1,chloroplast
AT3G26840.1,chloroplast
AT3G27110.1,chloroplast
AT3G27160.1,chloroplast
AT3G27740.1,chloroplast
AT3G27850.1,chloroplast
AT3G27925.1,chloroplast
AT3G29185.1,chloroplast
AT3G29320.1,chloroplast
AT3G44880.1,chloroplast
AT3G44890.1,chloroplast
AT3G46780.1,chloroplast
AT3G47060.1,chloroplast
AT3G47470.1,chloroplast
AT3G47520.1,chloroplast
AT3G47860.1,chloroplast
AT3G48420.1,chloroplast
AT3G48560.1,chloroplast
AT3G48870.1,chloroplast
AT3G49680.2,chloroplast
AT3G50820.1,chloroplast
AT3G51510.1,chloroplast
AT3G51820.1,chloroplast
AT3G51870.1,chloroplast
AT3G52150.1,chloroplast
AT3G52170.1,chloroplast
AT3G52180.1,chloroplast
AT3G52380.1,chloroplast
AT3G52750.1,chloroplast
AT3G52960.1,chloroplast
AT3G53130.1,chloroplast
AT3G53460.4,chloroplast
AT3G53470.2,chloroplast
AT3G53580.1,chloroplast
AT3G53700.1,chloroplast
AT3G53900.1,chloroplast
AT3G54050.1,chloroplast
AT3G54210.1,chloroplast
AT3G54640.1,chloroplast
AT3G54890.1,chloroplast
AT3G55010.1,chloroplast
AT3G55250.1,chloroplast
AT3G55330.1,chloroplast
AT3G55760.1,chloroplast
AT3G55800.1,chloroplast
AT3G56090.1,chloroplast
AT3G56130.1,chloroplast
AT3G56140.1,chloroplast
AT3G56650.1,chloroplast
AT3G56910.1,chloroplast
AT3G56940.1,chloroplast
AT3G57050.1,chloroplast
AT3G57180.1,chloroplast
AT3G57280.1,chloroplast
AT3G57560.1,chloroplast
AT3G57610.1,chloroplast
AT3G58010.1,chloroplast
AT3G58610.1,chloroplast
AT3G59780.1,chloroplast
AT3G59870.1,chloroplast
AT3G59890.1,chloroplast
AT3G60370.2,chloroplast
AT3G60620.1,chloroplast
AT3G60750.2,chloroplast
AT3G60880.1,chloroplast
AT3G61470.1,chloroplast
AT3G61870.2,chloroplast
AT3G62030.1,chloroplast
AT3G62910.1,chloroplast
AT3G63140.1,chloroplast
AT3G63190.1,chloroplast
AT3G63490.1,chloroplast
AT3G63540.1,chloroplast
AT4G00030.1,chloroplast
AT4G00490.1,chloroplast
AT4G00620.1,chloroplast
AT4G01037.1,chloroplast
AT4G01050.1,chloroplast
AT4G01150.1,chloroplast
AT4G01310.1,chloroplast
AT4G01690.1,chloroplast
AT4G01800.3,chloroplast
AT4G01900.1,chloroplast
AT4G01940.1,chloroplast
AT4G03280.1,chloroplast
AT4G03520.1,chloroplast
AT4G04020.1,chloroplast
AT4G04350.1,chloroplast
AT4G04640.1,chloroplast
AT4G04770.1,chloroplast
AT4G04850.1,chloroplast
AT4G05390.1,chloroplast
AT4G09010.1,chloroplast
AT4G09020.1,chloroplast
AT4G09040.1,chloroplast
AT4G09650.1,chloroplast
AT4G10000.1,chloroplast
AT4G10300.1,chloroplast
