ID1,ID2,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
Q9SCT7,AT3G51710.1,0.20643,0.24223,0.00107,0,0.29496,1,0.04094,0.16034,0.25531,0.30911
Q9SCT5,AT3G51730.1,0.90606,0.08384,0,0.44545,0.62424,0.21212,0.08485,0.26667,0.17172,1
Q9SCT4,AT3G51740.1,0.5073,1,0.38871,0.10836,0.60849,0,0.08082,0.07377,0.86719,0.59463
Q8RX71,AT3G51780.1,0.57957,0.84815,0,0.14424,1,0.70115,0.68431,0.06022,0.96568,0.7829
Q96326,AT3G51790.1,0.0862,0.02611,1,0.32397,0.0503,0,0.03038,0.35735,0.01475,0.05453
Q96327,AT3G51800.1,0.16432,0.2563,0.01451,0.01193,0.28121,0.30586,1,0,0.22596,0.19111
Q38833,AT3G51820.1,0.01005,0,0.04996,0.96377,0.00821,0.12029,0.0392,1,0.00439,0.01543
Q96328,AT3G51830.1,1,0.51841,0.89972,0.32688,0.66686,0,0.19371,0.40576,0.60122,0.99927
Q96329,AT3G51840.1,0.4876,0.71742,0.90453,0.90228,0.69241,0,0.97629,1,0.93064,0.46388
A0A1I9LP02,AT3G51850.2,0.58022,1,0.09113,0.37655,0.75756,0,0.1484,0.31059,0.92221,0.70533
O65023,AT3G51870.1,0.14438,0,0.21923,0.87957,0.0988,0.08184,0.16267,1,0.0143,0.18995
O49595,AT3G51880.1,0.01597,0.05056,0,0.00619,0.05393,0.75211,1,0.02431,0.07283,0.01967
F4J5M9,AT3G51890.1,0.22539,0.57896,0.00144,0,0.49774,0.69565,1,0.00533,0.55066,0.31973
Q9SV09,AT3G51950.1,1,0.6586,0.13801,0.51816,0.94915,0,0.20823,0.45278,0.76513,0.954
Q9SV06,AT3G51980.1,0.95667,0.32686,0.22087,0.04119,0.60999,0,0.00859,0.10697,0.34667,1
Q9SV01,AT3G52030.1,0.05222,0,0,0,0.04961,0.08877,1,0,0,0.05744
Q3EAL3,AT3G52070.2,0.16757,0.01967,0.15579,0.99215,0.02229,0.01967,0.10344,1,0,0.07988
F4J5R0,AT3G52090.2,0.05049,0.06022,0,0.0043,0.09569,0.23068,1,0.00668,0.0763,0.04936
A0A1I9LRS5,AT3G52100.4,0.00908,0,0.03555,0.01303,0.04265,0.30292,1,0.0237,0.0466,0.03199
Q94C11,AT3G52120.1,0.00473,0.00561,0,0.06379,0.03692,0.00266,1,0.03633,0.02806,0.01034
